Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;8;Capannoni industriali;NORMALE;P;180;270;L;,7;1,3;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;7;Capannoni tipici;NORMALE;P;200;300;L;,7;1,3;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;10;Laboratori;NORMALE;P;250;370;L;,9;1,6;L;
SUD;ABRUZZO;AQ;13066002;N1AC; ;A100;AIELLI;B;B1;AQ00000078;20;Abitazioni civili;NORMALE;P;390;580;L;1,6;2,1;L;
SUD;ABRUZZO;AQ;13066002;N1AC; ;A100;AIELLI;B;B1;AQ00000078;21;Abitazioni di tipo economico;NORMALE;P;350;520;L;1,3;1,6;L;
SUD;ABRUZZO;AQ;13066002;N1AC; ;A100;AIELLI;B;B1;AQ00000078;13;Box;NORMALE;P;260;390;L;1,3;1,8;L;
SUD;ABRUZZO;AQ;13066002;N1AC; ;A100;AIELLI;B;B1;AQ00000078;14;Posti auto coperti;NORMALE;P;170;250;L;,8;1,2;L;
SUD;ABRUZZO;AQ;13066002;N1AC; ;A100;AIELLI;B;B1;AQ00000078;15;Posti auto scoperti;NORMALE;P;80;120;L;,3;,4;L;
SUD;ABRUZZO;AQ;13066002;N1AC; ;A100;AIELLI;B;B1;AQ00000078;1;Ville e Villini;NORMALE;P;450;670;L;1,6;2,4;L;
SUD;ABRUZZO;AQ;13066002;N1AC; ;A100;AIELLI;B;B1;AQ00000078;9;Magazzini;NORMALE;P;240;360;L;1;1,5;L;
SUD;ABRUZZO;AQ;13066002;N1AC; ;A100;AIELLI;B;B1;AQ00000078;5;Negozi;NORMALE;P;700;1000;L;3,1;4,5;L;
SUD;ABRUZZO;AQ;13066002;N1AC; ;A100;AIELLI;B;B1;AQ00000078;6;Uffici;NORMALE;P;400;600;L;1,9;2,9;L;
SUD;ABRUZZO;AQ;13066002;N1AC; ;A100;AIELLI;B;B1;AQ00000078;7;Capannoni tipici;NORMALE;P;240;360;L;1,2;1,6;L;
